2026-02-18T16:37:48.535Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 4:37:48 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:38:18 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:37:48.535Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T16:37:48.637Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 4:37:48 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:38:48 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:37:48.637Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T16:37:57.862Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 4:37:48 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:38:48 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:38:07.873Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 4:37:48 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:38:48 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:38:17.867Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 4:37:48 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:38:48 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:38:18.652Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 4:38:18 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:38:48 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:38:18.652Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T16:38:18.756Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 4:38:18 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:39:18 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:38:18.756Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T16:38:27.861Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 4:38:18 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:39:18 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:38:37.864Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 4:38:18 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:39:18 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T16:38:47.865Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 4:38:18 PM', Port pair 54768->54768, expiring in 00:01:00 at 18-Feb-26 4:39:18 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
